Strain ID	Synthetic chromosome	Phenotype	"SCRaMbLEing
(Y/N)"	"Integrate CRE-EBD into the HO locus
(Y/N)"	Slow Growth	Round	Tube	Colony	Total # of reads	Total # of reads after quality control	Total # of reads mapping to WT chromosomes	Total # of reads mapping to syn chromosome without bisection / trisection	Total # of reads mapping to syn chromosome with bisection / trisection	"Total # of reads, other"	Maximal read depth supporting a putative ectopic recombination	Average sequencing depth: the non-synthetic regions	Average sequencing depth: SYN chromosome	Total # of reads containing loxP site	# including sequence mapping on non-syn chromosome (should be 0)	# mapping to parent sequence	# consistent with solution: mapping to parent	# consistent with solution: not mapping to parent(# not mapping to parental sequence but consistent with the solution)	# inconsistent with solution: mapping to parent	# inconsistent with solution: not mapping to parent	Maximal read depth supporting a putative off-target recombination	Total # of recombinations	# of new junctions that are CDS-UTR	# of new junctions that are CDS-CDS	# of new junctions that are UTR-UTR	 # of new junctions that involve non-CDS or non-UTR sequence (when the loxP site wasn't in a 3' UTR)	# of segments observed at copy number 1	# of segments observed at copy number 2 or more	# of segments deleted	# of reconstructions	# of 10kb reads	# mapping to syn chromosome parent sequence	"# mapping to syn chromosome with recombination, consistent with solution (loxp)"	# mapping to syn chromosome but inconsistent with solution(loxp)	 Final # of possible unique reconstruction	solutions	# of Deletion: Events	# of Deletion: Junctions	# of Inversion: Events	# of Inversion: Junctions	# of Tandem Duplication: Events	# of Tandem Duplication: Junctions	# of Inverted Duplication: Events	# of Inverted Duplication: Junctions	# of Complex: Events	# of Complex: Junctions	PacBio
JS94	9R	"Lys-	"	N	N	N	2	2	1	7082820	3610832	3573361	19942	70	17459	8	29.6 	19.9 	797	0	796	796	0	0	1	0	0	0	0	0	0	43	0	0	1	-	-	-	-	1	1-44	-	-	-	-	-	-	-	-	-	-	1
JS96	9R	-	N	N	N	2	2		6418540	3086900	3050608	17550	58	18684	8	25.3 	17.5 	333	0	333	333	0	0	0	0	0	0	0	0	0	43	0	0	1	-	-	-	-	1	1-44	-	-	-	-	-	-	-	-	-	-	0
JS274	9R	"Met-	Lys-"	N	Y	N	2	2	1	6420176	3101298	3050584	17736	205	32773	6	25.3 	17.9 	657	0	601	600	32	1	24	1	3	1	1	1	0	41	0	2	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,-18,-17,-16,-13,-12,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44"	1	1	1	2	0	0	0	0	0	0	0
JS571	9R	"Met-	Lys-"	Y	N	N	1	1		5909460	2933076	2901252	14746	153	16925	7	24.0 	14.8 	439	0	350	350	87	0	2	1	8	1	3	2	2	33	0	10	1	-	-	-	-	1	"1,2,3,4,5,6,-25,15,16,17,18,19,20,21,22,23,24,12,-11,-10,-9,-8,-7,26,27,28,29,30,36,37,38,-43,-42,44"	3	3	3	6	0	0	0	0	1	1	0
JS601	9R	"Met-	Lys-"	Y	N	N	2	2	4	8691370	4387242	4337550	21404	132	28156	5	35.9 	21.5 	785	0	737	737	46	0	2	0	3	1	2	0	0	33	1	9	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,18,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,38,39,40,41,42,43,44"	2	2	0	0	1	4	0	0	0	0	0
JS605	9R	"Met-	"	Y	N	N	2	2	31	7071434	3601196	3561556	20138	103	19399	4	29.5 	20.2 	747	0	708	708	37	0	2	0	2	1	0	0	1	40	0	3	1	-	-	-	-	1	"1,2,3,4,5,6,7,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44"	2	2	0	0	0	0	0	0	0	0	0
JS606	9R	"Met-	"	Y	N	Y	3	1	1	8721780	4439230	4324954	83007	1027	30242	3	35.8 	83.7 	3568	0	2905	2905	649	0	14	0	19	16	1	2	0	34	4	5	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,12,13,16,17,19,20,21,-22,23,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,24,25,26,27,28,29,30,32,33,34,35,36,37,38,-39,40,41,42,43,44"	4	4	2	4	1	3	0	0	0	0	0
JS608	9R	"Met-	Lys-"	Y	N	N	3	1	13	8640494	4290258	4225767	22203	248	42040	4	35.0 	22.4 	814	0	717	717	89	0	8	0	5	3	1	1	0	37	0	6	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25,26,27,-37,-36,-31,-30,-29,28,38,39,40,41,42,43,44"	2	2	1	2	0	0	0	0	1	1	0
JS610	9R	"Met-	"	Y	N	N	3	1	21	6551588	3256164	3220011	18371	127	17655	3	26.7 	18.4 	725	0	679	679	41	0	5	1	3	2	1	0	0	39	0	4	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44"	3	3	0	0	0	0	0	0	0	0	0
JS611	9R	"Met-	"	Y	N	N	3	1	22	10857636	5574330	5503208	30964	211	39947	3	45.6 	31.1 	1186	0	1142	1142	41	0	3	0	2	0	1	1	0	41	0	2	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,-35,-34,-33,-32,-31,-30,-29,-28,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,36,37,38,39,40,41,42,43,44"	1	1	1	2	0	0	0	0	0	0	0
JS612	9R	"Met-	"	Y	N	Y	3	1	27	5645404	2719236	2687189	14086	124	17837	3	22.3 	14.2 	476	0	423	423	50	0	3	0	5	1	2	2	0	39	0	4	1	-	-	-	-	1	"1,2,3,4,-6,-5,7,8,9,10,12,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,39,40,41,42,43,44"	3	3	1	2	0	0	0	0	0	0	0
JS618	9R	"Met-	Lys-"	Y	N	N	3	2	24	6775396	3203816	3172589	13845	98	17284	3	26.3 	13.9 	516	0	462	462	53	0	1	0	4	0	2	2	0	31	0	12	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,19,20,21,22,23,24,25,26,27,-28,29,30,38,39,40,41,42,43,44"	2	2	1	2	0	0	0	0	0	0	0
JS621	9R	"Met-	Lys-"	Y	N	N	3	3	11	6620858	3139326	3108200	16714	107	14305	3	25.8 	16.8 	572	0	534	534	36	0	2	0	3	2	0	0	1	30	4	9	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,8,9,10,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,39,40,41,42,43,44"	2	2	0	0	1	3	0	0	0	0	0
JS622	9R	"Met-	"	Y	N	N	3	3	13	8560768	4215798	4137561	20515	301	57421	6	34.3 	20.7 	728	0	642	642	81	0	5	0	6	1	3	2	0	36	0	7	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,-12,19,20,21,22,23,24,25,26,27,-41,-40,-39,-38,-37,-36,-34,-33,-32,-31,-30,-29,28,42,43,44"	2	2	2	4	0	0	0	0	1	1	0
JS623	9R	"Met-	"	Y	N	N	3	4	3	9551986	5019292	4956238	27087	202	35765	4	41.1 	27.2 	954	0	895	895	59	0	0	0	4	2	1	1	0	40	0	3	1	-	-	-	-	1	"1,2,3,4,5,6,-9,-8,-7,10,11,12,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44"	2	2	1	2	0	0	0	0	0	0	0
JS624	9R	"Met-	Lys-"	Y	N	N	3	4	5	7479296	3836890	3790781	19479	188	26442	3	31.4 	19.6 	672	0	567	567	102	0	3	0	6	1	3	2	0	36	0	7	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,16,17,18,19,20,21,-24,-23,-22,25,26,27,-28,29,30,31,36,37,38,39,40,41,42,43,44"	2	2	2	4	0	0	0	0	0	0	0
JS625	9R	"Met-	"	Y	N	N	3	4	7	8617764	4380250	4321079	24115	143	34913	4	35.8 	24.2 	919	0	904	904	12	0	3	0	1	1	0	0	0	41	0	2	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44"	1	1	0	0	0	0	0	0	0	0	0
JS626	9R	"Met-	"	Y	N	N	3	4	14	6450560	2718732	2696254	12021	81	10376	3	22.3 	12.1 	427	0	387	387	39	0	1	0	5	1	2	2	0	39	0	4	1	-	-	-	-	1	"1,2,-3,4,5,6,7,8,9,10,11,12,13,18,19,20,21,22,23,24,25,26,27,-38,-37,-36,-35,-34,-33,-32,-31,-30,-29,-28,39,40,41,42,43,44"	1	1	2	4	0	0	0	0	0	0	1
JS627	9R	"Met-	"	Y	N	N	3	4	16	9385906	4945528	4873778	24638	225	46887	4	40.4 	24.8 	887	0	838	838	39	0	10	0	2	1	1	0	0	40	0	3	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44"	2	2	0	0	0	0	0	0	0	0	0
JS629	9R	"Met-	"	Y	N	N	3	4	20	10967344	8018164	7918608	37662	264	61630	6	65.6 	37.8 	1273	0	1212	1212	59	0	2	0	2	1	0	1	0	35	0	8	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,19,20,21,22,23,24,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44"	2	2	0	0	0	0	0	0	0	0	0
JS708	9R	"	Lys-"	Y	N	N	2	1	32	7060260	3382250	3344463	16337	103	21347	3	27.7 	16.4 	567	0	543	543	22	0	2	0	2	1	1	0	0	36	0	7	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,36,37,38,39,40,41,42,43,44"	2	2	0	0	0	0	0	0	0	0	0
JS710	9R	"	Lys-"	Y	N	N	2	1	38	7421738	3413052	3309077	68483	1145	34347	4	27.4 	69.4 	2149	0	1522	1522	610	0	17	0	44	10	17	6	11	1	35	7	-	2667118	51487	310	212	1	"1,2,3,4,-7,-27,-26,-25,-24,-23,-22,-21,-20,-19,-18,-17,-16,-14,25,26,27,28,29,30,7,-6,-5,-4,-3,-1,-44,-41,-40,39,-38,-37,8,9,10,11,14,37,38,39,40,41,42,43,44,1,3,4,5,6,-7,-30,-29,-28,-27,-26,-25,14,16,17,18,19,20,21,22,23,24,-13,-12,16,17,18,14,-10,9,-8,37,38,39,-38,-37,8,9,10,11,14,37,38,39,40,41,42,43,44,1,3,4,5,6,-7,-30,-29,28,-27,-26,-25,14,16,17,18,19,20,22,23,24,-13,-12,16,17,18,14,-10,9,-8,37,38,39,40,41,42,43,44"	2	2	5	13	4	7	0	3	5	5	0
JS713	9R	"	Lys-"	Y	N	N	2	1	42	5827140	4217230	4175916	16297	177	24840	3	34.6 	16.4 	503	0	429	429	74	0	0	0	4	0	0	2	2	27	0	16	1	-	-	-	-	1	"1,2,3,4,5,6,-43,-42,-41,-40,-24,-23,-22,-21,-20,-19,-18,-17,-16,-15,-14,-13,-12,-10,-9,-8,-7,44"	2	2	1	2	0	0	0	0	0	0	0
JS714	9R	"	Lys-"	Y	N	N	2	2	20	5380014	3888104	3844348	21427	102	22227	2	31.9 	21.4 	691	0	669	669	22	0	0	0	1	1	0	0	0	37	0	6	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,36,37,38,39,40,41,42,43,44"	1	1	0	0	0	0	0	0	0	0	0
JS715	9R	"	Lys-"	Y	N	N	2	2	21	6213960	4560546	4510934	25984	243	23385	4	37.4 	26.1 	786	0	667	667	118	0	1	0	6	1	2	1	2	35	0	8	1	-	-	-	-	1	"1,2,3,4,5,6,-7,8,9,10,12,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,36,37,38,39,40,41,42,43,44"	4	4	1	2	0	0	0	0	0	0	0
JS716	9R	"	Lys-"	Y	N	N	2	2	22	5569698	3906114	3856376	18453	167	31118	4	32.0 	18.6 	595	0	582	582	10	0	3	0	1	1	0	0	0	32	0	11	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,39,40,41,42,43,44"	1	1	0	0	0	0	0	0	0	0	0
JS717	9R	"	Lys-"	Y	N	N	2	2	23	6474950	4762706	4701344	26622	162	34578	4	39.0 	26.7 	821	0	799	799	18	0	4	1	1	0	1	0	0	38	0	5	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,36,37,38,39,40,41,42,43,44"	1	1	0	0	0	0	0	0	0	0	0
JS718	9R	"	Lys-"	Y	N	N	2	2	24	5744288	4220010	4175512	20059	90	24349	3	34.6 	20.1 	614	0	595	595	16	0	3	0	1	1	0	0	0	34	0	9	1	-	-	-	-	1	"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,40,41,42,43,44"	1	1	0	0	0	0	0	0	0	0	0
